,Adj Close
0,300.50048799999996
1,307.362366
2,300.700714
3,305.035034
4,302.132141
5,296.06106600000004
6,297.467468
7,294.409424
8,290.720734
9,285.77578700000004
10,289.58459500000004
11,285.490479
12,290.575562
13,289.404419
14,290.51550299999997
15,284.534546
16,282.832825
17,280.825836
18,279.80481000000003
19,282.537537
20,285.710724
21,291.056061
22,289.044037
23,282.887878
24,286.026031
25,280.630646
26,282.62262000000004
27,284.934937
28,282.43743900000004
29,290.325317
30,290.525513
31,294.209198
32,298.25827000000004
33,293.283295
34,293.29830899999996
35,291.141144
36,285.88088999999997
37,285.525513
38,288.54855299999997
39,287.747742
40,288.653656
41,290.670685
42,296.826813
43,305.715729
44,308.06304900000003
45,304.089081
46,304.299286
47,306.987
48,317.797791
49,316.466461
50,316.801788
51,316.656647
52,314.689697
53,320.985992
54,321.73172
55,320.590576
56,321.43643199999997
57,321.49649
58,321.32132
59,330.335327
60,334.664673
61,334.10409500000003
62,336.771759
63,338.908905
64,338.108093
65,335.090088
66,338.928925
67,338.738739
68,339.65466299999997
69,334.944946
70,338.963959
71,344.349335
72,341.18118300000003
73,342.887878
74,340.86087000000003
75,340.700714
76,350.050049
77,353.428436
78,350.735748
79,346.441437
80,345.785797
81,353.373383
82,355.19518999999997
83,355.34533700000003
84,359.49951200000004
85,364.114105
86,364.424438
87,367.362366
88,375.065063
89,374.954956
90,377.107117
91,378.628632
92,377.627625
93,381.271271
94,378.873871
95,381.631622
96,384.409424
97,384.209198
98,379.299286
99,372.417419
100,372.652649
101,376.11611899999997
102,372.747742
103,370.86087000000003
104,372.722717
105,378.123108
106,347.847839
107,341.236237
108,339.674683
109,340.51550299999997
110,338.988983
111,339.219208
112,337.912903
113,340.490479
114,344.13912999999997
115,344.30429100000003
116,341.82180800000003
117,341.201202
118,333.89389
119,326.471466
120,331.846832
121,333.283295
122,329.85485800000004
123,326.60159300000004
124,323.953949
125,323.91391
126,334.43945299999996
127,335.320313
128,333.26828
129,334.319305
130,330.905914
131,335.690704
132,342.177185
133,346.29129
134,349.534546
135,347.972961
136,345.86087000000003
137,344.254242
138,345.910919
139,342.447449
140,343.05304
141,348.788788
142,349.12912
143,351.70169100000004
144,351.331329
145,360.750763
146,360.89590499999997
147,360.41540499999996
148,361.541534
149,358.173187
150,355.105103
151,354.789795
152,353.49850499999997
153,350.355347
154,354.044037
155,361.987
156,362.197205
157,369.35434
158,367.74273700000003
159,367.017029
160,369.429443
161,371.111115
162,370.365356
163,361.987
164,362.82782000000003
165,357.952942
166,356.016022
167,352.607605
168,351.78677400000004
169,371.121124
170,377.482483
171,377.212219
172,375.740753
173,377.21722400000004
174,377.292297
175,378.223236
176,388.188202
177,379.88989300000003
178,383.253265
179,385.470459
180,387.362366
181,393.07806400000004
182,391.60159300000004
183,390.740753
184,391.82180800000003
185,394.30429100000003
186,396.841827
187,403.828827
188,396.626617
189,398.163177
190,400.25524900000005
191,395.780792
192,395.46044900000004
193,400.290283
194,401.00100699999996
195,403.49850499999997
196,411.161163
197,419.719727
198,416.10611
199,416.716705
200,416.176178
201,417.82782000000003
202,414.219208
203,413.068054
204,411.18118300000003
205,407.55755600000003
206,404.299286
207,406.066071
208,407.762756
209,406.036041
210,405.56054700000004
211,405.22522000000004
212,406.616608
213,401.73172
214,397.492493
215,400.996002
216,406.926941
217,403.50351
218,397.932922
219,391.91693100000003
220,387.81280499999997
221,389.214203
222,395.485474
223,395.590576
224,395.42041
225,391.356354
226,397.082092
227,391.671661
228,383.338348
229,400.335327
230,400.455444
231,404.35434
232,407.132141
233,404.954956
234,401.111115
235,409.93994100000003
236,412.697693
237,410.62564100000003
238,415.220215
239,423.283295
240,431.206207
241,429.044037
242,437.252258
243,436.17617800000005
244,440.555542
245,439.204193
246,443.993988
247,458.403412
248,452.38739000000004
249,455.045044
250,454.719727
251,453.93893399999996
252,445.155151
253,441.83682300000004
254,437.09710700000005
255,441.07608
256,434.5896
257,435.81582599999996
258,436.046051
259,434.249237
260,429.97997999999995
261,430.280273
262,432.752747
263,440.30529800000005
264,445.555542
265,440.34533700000003
266,436.426422
267,438.93893399999996
268,437.957947
269,443.5685730000001
270,450.76077300000003
271,450.7908019999999
272,442.81280499999997
273,440.90591399999994
274,435.33032199999997
275,433.53353899999996
276,437.26226799999995
277,438.97396900000007
278,440.62564100000003
279,444.38439900000003
280,441.596588
281,443.65866100000005
282,447.1922
283,452.997986
284,453.073059
285,453.44845599999996
286,460.58056600000003
287,461.961975
288,462.8078
289,460.26525899999996
290,459.73474100000004
291,455.795807
292,448.74874900000003
293,455.805817
294,452.352356
295,451.90191699999997
296,444.29428099999996
297,443.118103
298,441.57656900000006
299,445.90591399999994
300,444.319305
301,452.562561
302,453.73873899999995
303,452.952942
304,448.73373399999997
305,445.77078200000005
306,446.77676399999996
307,445.65066500000006
308,443.198212
309,441.066071
310,435.34033200000005
311,430.26025400000003
312,428.883881
313,433.25827000000004
314,433.143158
315,435.10009800000006
316,437.29229699999996
317,435.54052699999994
318,433.62863200000004
319,425.50048799999996
320,424.69970700000005
321,428.143158
322,423.873871
323,430.62060499999995
324,436.25125099999997
325,440.22021500000005
326,440.230225
327,444.469482
328,444.77978499999995
329,448.54354900000004
330,446.97699000000006
331,444.97997999999995
332,444.32430999999997
333,443.49850499999997
334,452.112122
335,449.644653
336,452.007019
337,443.693695
338,443.86386100000004
339,439.05404699999997
340,439.524536
341,438.633636
342,438.393402
343,443.94393899999994
344,444.439453
345,438.48349
346,436.611603
347,433.30331399999994
348,427.26226799999995
349,428.358368
350,434.554565
351,436.4314269999999
352,438.4935
353,441.446442
354,449.46447800000004
355,444.839844
356,506.211212
357,502.15216100000004
358,504.003998
359,516.221191
360,513.288269
361,508.108093
362,508.007996
363,518.6386110000001
364,515.725708
365,515.805786
366,514.034058
367,513.568542
368,511.271271
369,511.88690199999996
370,504.479492
371,508.523529
372,505.800812
373,506.396393
374,516.75177
375,518.133118
376,517.297302
377,516.291321
378,513.113098
379,511.66665599999993
380,517.552551
381,516.461487
382,523.488464
383,529.734741
384,532.087097
385,530.325317
386,527.7677610000001
387,527.157166
388,529.619629
389,529.1992190000001
390,535.470459
391,539.6096190000001
392,542.8728639999999
393,539.184204
394,535.5155030000001
395,530.9259030000001
396,537.027039
397,535.465454
398,542.917908
399,543.653625
400,550.86084
401,558.1080929999999
402,556.476501
403,559.289307
404,559.759766
405,555.2852780000001
406,560.9158940000001
407,557.117126
408,553.05304
